ENSG ID	Gene Symbol	CHR	pos.p0	wingo.TWAS Z	wingo.TWAS p-value	wingo.COLOC PP4	spxcan.best.zscore	spxcan.lasso.zscore	spxcan.best.pvalue	spxcan.lasso.pvalue	spxcan.best.pred_perf_r2	spxcan.lasso.pred_perf_r2	susie.cs_index	susie.susie_pip	susie.mu2
ENSG00000197815	AC122129.1	17	NA	3.62521	2.89e-4	0.181	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000184227	ACOT1	14	74003818	-3.93599	8.29e-5	0.068	-2.994666103992575	-2.8302245102481605	0.00274745416339223	0.00465153507856791	0.512868623899394	0.494647374322	0	0.259140360743208	11.3545937016395
ENSG00000137845	ADAM10	15	58887403	3.64604	2.66e-4	0.028	5.526763344467271	5.430189929756821	3.26192488500414e-8	5.62941081262684e-8	0.0844577055037853	0.0822085350246473	1	0.785376461799216	25.4994097550664
ENSG00000108091	CCDC6	10	61548521	4.31	1.65e-5	0.977	4.0619643962685865	4.713511495718579	4.8661500006373396e-5	2.4348398192270155e-6	0.159223276249341	0.147565901076003	1	0.955009936696081	18.8699761644424
ENSG00000198087	CD2AP	6	47445525	6.017745	1.77e-9	0.99	5.700260757203397	6.581294231283571	1.1962430632473918e-8	4.663706173599561e-11	0.0693462543174588	0.0574851580125626	1	0.942795733196638	30.764178889454
ENSG00000074266	EED	11	NA	-7.8963	2.87e-15	0.98	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000104884	ERCC2	19	45853095	4.28147	1.86e-5	0	4.8084554348743875	3.2260078174741587	1.521009270304696e-6	0.0012552992828446794	0.0299226725475152	0.0161379897690469	0	0	239.499126056937
ENSG00000149926	FAM57B	16	NA	3.70832	2.09e-4	0.523	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000158869	FCER1G	1	161185024	-4.45901	8.23e-6	0.927	-2.2795967426766333	0.14288599003730398	0.022631616331747973	0.8863802233646019	0.0316710065527416	0.0161952625454708	0	0.237782332899209	6.36977598537591
ENSG00000164574	GALNT10	5	NA	3.86	1.13e-4	0.989	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000239521	GATS	7	NA	-3.75043	1.77e-4	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000099377	HSD3B7	16	NA	-3.90315	9.49e-5	0.635	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000196388	INCA1	17	NA	3.96685	7.28e-5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000140678	ITGAX	16	31366455	3.97214	7.12e-5	0.002	-0.9127869576399708	-1.0345935322429083	0.36135459907202394	0.30085877577726705	0.0418069389768143	0.0311067530634852	0	0.075060728251949	4.91729778465594
ENSG00000103510	KAT8	16	NA	-5.41383	6.17e-8	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000144426	NBEAL1	2	NA	3.83525	1.25e-4	0.725	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000156170	NDUFAF6	8	NA	3.695906	2.19e-4	0.555	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000099817	POLR2E	19	NA	4.56478	5e-6	0.039	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000099381	SETD1A	16	NA	-4.50771	6.55e-6	0.415	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000137776	SLTM	15	NA	3.93578	8.29e-5	0.675	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000172803	SNX32	11	65601112	-4.4354	9.19e-6	0.98	-3.0948416243601837	-3.1554897014115935	0.0019691801483910205	0.0016022892283201091	0.395498016413354	0.394072332926334	0	0.556956991807914	19.4630976688639
ENSG00000103496	STX4	16	31044210	4.03187	5.53e-5	0.44	4.081975142149511	4.274082388022926	4.465457389535639e-5	1.9192606337641014e-5	0.092674346786306	0.0903114480374951	0	0.149369793795288	18.893470267928
ENSG00000135823	STX6	1	180941861	3.63187	2.81e-4	0.221	3.4129738513471204	3.4129738513471204	6.42581074649e-4	6.42581074649e-4	0.140535349126821	0.140535349126821	0	0.628444713723924	19.6597117298262
ENSG00000182087	TMEM259	19	NA	-3.69749	2.18e-4	0.901	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000095970	TREM2	6	NA	-3.95148	7.77e-5	0.321	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000120314	WDR55	5	NA	3.76	1.72e-4	0.091	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000090238	YPEL3	16	NA	-4.6462	3.38e-6	0.831	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000167395	ZNF646	16	NA	-5.00203	5.67e-7	0.733	NA	NA	NA	NA	NA	NA	NA	NA	NA
